date,rank,access_count,series,file_name,main_link,file_type,file_download_link
2024-07-23,1,331,国勢調査 - 都道府県・市区町村別の主な結果,令和2年 都道府県・市区町村別の主な結果,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032143614,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032143614&fileKind=0
2024-07-23,2,217,国勢調査 - 令和２年国勢調査,総人口・総世帯数・男女・年齢・配偶関係 男女別人口，世帯の種類別世帯数及び世帯人員並びに2015年（平成27年）の人口（組替），2015年（平成27年）の世帯数（組替），5年間の人口増減数，5年間の人口増減率，5年間の世帯増減数，5年間の世帯増減率，人口性比，面積（参考）及び人口密度－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032142402,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142402&fileKind=0
2024-07-23,3,202,労働力調査 - 労働力調査（公表資料、時系列結果など）,結果の概要 結果の要約,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040139481,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040139481&fileKind=2
2024-07-23,4,179,在留外国人統計（旧登録外国人統計）,国籍・地域別　在留資格別　在留外国人,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040186952,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040186952&fileKind=4
2024-07-23,5,161,在留外国人統計（旧登録外国人統計）,在留外国人統計テーブルデータ（国籍・地域別　在留資格別　都道府県別　年齢・性別）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040186956,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040186956&fileKind=0
2024-07-23,6,143,鉄道輸送統計調査,鉄・軌道旅客輸送 旅客営業キロ及び旅客数量（１）総合計,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040130709,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040130709&fileKind=4
2024-07-23,7,143,賃金構造基本統計調査,職種（小分類）別きまって支給する現金給与額、所定内給与額及び年間賞与その他特別給与額（産業計）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040163741,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040163741&fileKind=4
2024-07-23,8,136,在留外国人統計（旧登録外国人統計）,国籍・地域別　在留資格別　在留外国人,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040186952,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040186952&fileKind=0
2024-07-23,9,134,消費者物価指数 - 2020年基準消費者物価指数,統計表 中分類指数（全国） 月次,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040191570,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040191570&fileKind=0
2024-07-23,10,129,在留外国人統計（旧登録外国人統計）,都道府県市区町村別　在留外国人,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040186955,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040186955&fileKind=0
